cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time,RUL
1.0,29.4,2497.756,2.492796,4.040194,28.0,4.114246,2.494945,12.0,112.2850304879824
1.0,29.4,2495.482,2.504615,4.092466,28.0,4.244926,2.492796,14.0,112.2566836378003
1.0,29.4,2493.271,2.511062,3.979211,28.0,4.083754,2.503541,16.0,112.23805863154344
1.0,29.4,2491.017,2.492796,4.057618,28.0,4.040194,2.506764,18.0,112.28599536271784
1.0,29.4,2488.422,2.508913,4.671815,28.0,4.136027,2.492796,20.0,112.2743876272642
1.0,29.4,2486.075,2.492796,4.223146,28.0,3.961787,2.487424,22.0,112.29350238054586
1.0,29.4,2483.829,2.504615,4.04455,28.0,4.053262,2.497094,24.0,112.25625967768929
1.0,29.4,2481.511,2.503541,4.170875,28.0,4.144739,2.492796,26.0,112.26300649118026
1.0,29.4,2479.216,2.511062,4.131671,28.0,4.101178,2.492796,28.0,112.24348239710176
1.0,29.4,2476.969,2.499243,4.04455,28.0,4.323335,2.49387,30.0,112.26718761503383
1.0,29.4,2474.737,2.503541,4.018414,28.0,3.979211,2.500317,32.0,112.25841602652984
1.0,29.4,2472.492,2.490647,4.040194,28.0,4.005346,2.487424,34.0,112.29111212267853
1.0,29.4,2470.192,2.492796,4.140383,28.0,4.070686,2.477753,36.0,112.28912389595094
1.0,29.4,2467.909,2.499243,4.10989,28.0,4.227502,2.447668,38.0,112.27108366226103
1.0,29.4,2466.025,2.49602,3.391149,28.0,4.040194,2.49387,40.0,112.2595855716637
1.0,29.4,2463.782,2.544371,4.035838,28.0,4.057618,2.516435,42.0,112.16156307013144
1.0,29.4,2461.531,2.530403,4.053262,28.0,4.075042,2.503541,44.0,112.19439074010768
1.0,29.4,2459.197,2.494945,4.201366,28.0,4.101178,2.491722,46.0,112.28557140260682
1.0,29.4,2456.913,2.51536,4.10989,28.0,4.21879,2.498168,48.0,112.2309024772556
1.0,29.4,2454.55,2.50569,4.253638,28.0,4.005346,2.51536,50.0,112.2616103466767
1.0,29.4,2452.267,2.503541,4.10989,28.0,4.005346,2.504615,52.0,112.26115714793734
1.0,29.4,2449.976,2.483126,4.122958,28.0,4.092466,2.477753,54.0,112.31234667651528
1.0,29.4,2447.705,2.507839,4.08811,28.0,4.02277,2.494945,56.0,112.24980525048174
1.0,29.4,2445.487,2.51536,3.992279,28.0,4.00099,2.506764,58.0,112.22812480756268
1.0,29.4,2443.209,2.519658,4.101178,28.0,4.06633,2.488498,60.0,112.22154611618468
1.0,29.4,2440.773,2.509988,4.384318,28.0,4.02277,2.504615,62.0,112.25688830819873
1.0,29.4,2438.48,2.516435,4.127314,28.0,4.061974,2.511062,64.0,112.22982795766389
1.0,29.4,2436.168,2.523956,4.162163,28.0,4.031482,2.502466,66.0,112.21367361550232
1.0,29.4,2433.957,2.504615,3.979211,28.0,4.06633,2.506764,68.0,112.25299226097152
1.0,29.4,2431.614,2.517509,4.21879,28.0,4.114246,2.512137,70.0,112.23038349160244
1.0,29.4,2429.378,2.507839,4.02277,28.0,4.053262,2.49602,72.0,112.24688138764706
1.0,29.4,2427.248,2.516435,3.835462,28.0,4.018414,2.50569,74.0,112.22009880408152
1.0,29.4,2424.957,2.514286,4.122958,28.0,4.114246,2.528254,76.0,112.23389943666116
1.0,29.4,2422.64,2.51536,4.170875,28.0,4.014058,2.492796,78.0,112.23461578305565
1.0,29.4,2420.335,2.508913,4.149095,28.0,4.035838,2.458413,80.0,112.24968829596835
